genome,metabolite,methanogen,weight_genome_metab,weight_metab_methanogen,sign_genome_metab,sign_metab_methanogen,FeatureID,Feature,Final_name,InChIKey,KEGG_id,KEGG_name,KEGG_formula,KEGG_pathway,Kingdom,Superclass,Class,Subclass,Parent.Level.1,Parent.Level.2,Parent.Level.3,Parent.Level.4,Parent.Level.5,Annotation_Confidence,Annotation_Confidence_sublevel
SPRUCE 124,RP_1.33_159.05116,SPRUCE 2026,0.01250014539077313,-0.029926050187430105,positive,negative,Feature0419,RP_1.33_159.05116,Allantoin,POJWUDADGALRAB-UHFFFAOYSA-N,cpd:C01551,Allantoin;5-Ureidohydantoin;Glyoxyldiureide,C4H6N4O3,NA,Organic compounds,Organoheterocyclic compounds,Azoles,Imidazoles,Imidazoles,,,,,L1,L1
SPRUCE 2155,RP_10.233_344.17023,SPRUCE 2026,0.016078214692422755,-0.048530626507355484,positive,negative,Feature3832,RP_10.233_344.17023,Raspberry ketone glucoside,IDONYWHRKBUDOR-IBEHDNSVSA-N,NA,NA,NA,NA,Organic compounds,Organic oxygen compounds,Organooxygen compounds,Carbohydrates and carbohydrate conjugates,Glycosyl compounds,Phenolic glycosides,,,,L1,L1
SPRUCE 2155,RP_19.948_313.10687,SPRUCE 2026,0.008869304960875016,-0.004079917549709381,positive,negative,Feature3215,RP_19.948_313.10687,Albiflorin-3,DBPWCIPDCMVUFT-UHFFFAOYSA-N ,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,L2,L2
SPRUCE 2155,RP_18.205_289.17971,SPRUCE 556,-0.07621148966251744,-0.0050321704208468425,negative,negative,Feature2715,RP_18.205_289.17971,Estriol,PROQIPRRNZUXQM-ZXXIGWHRSA-N,cpd:C05141,"Estriol;1,3,5(10)-Estratriene-3,16-alpha,17beta-triol",C18H24O3,"Steroid hormone biosynthesis;Metabolic pathways;Progesterone, androgen and estrogen receptor agonists/antagonists",Organic compounds,Lipids and lipid-like molecules,Steroids and steroid derivatives,Estrane steroids,Estrogens and derivatives,,,,,L2,L2
SPRUCE 2155,RP_13.775_259.09636,SPRUCE 556,-0.005678045974420901,0.012699229285737506,negative,positive,Feature2130,RP_13.775_259.09636,Luvangetin,XYPWCJWXFYYGPA-UHFFFAOYSA-N,cpd:C09273,"Luvangetin;10-Methoxy-8,8-dimethyl-2H,8H-benzo[1,2-b:5,4-b']dipyran-2-one",C15H14O4,NA,Organic compounds,Phenylpropanoids and polyketides,Coumarins and derivatives,Pyranocoumarins,Linear pyranocoumarins,,,,,L2,L2
SPRUCE 2155,RP_5.641_174.12357,SPRUCE 510,0.0030273712355561345,-0.04902084143114192,positive,negative,Feature0620,RP_5.641_174.12357,Indospicine,SILQDLDAWPQMEL-YFKPBYRVSA-N,cpd:C08288,Indospicine;L-Indospicine,C7H15N3O2,NA,Organic compounds,Organic acids and derivatives,Carboxylic acids and derivatives,"Amino acids, peptides, and analogues",Amino acids and derivatives,Alpha amino acids and derivatives,Alpha amino acids,L-alpha-amino acids,,L3,L2.2
SPRUCE 675,RP_20.132_283.20546,SPRUCE 2021,6.035454023427603e-4,-0.09305589524220909,positive,negative,Feature2591,RP_20.132_283.20546,cis-Dehydroretinal,QHNVWXUULMZJKD-IOUUIBBYSA-N  ,cpd:C05919,11-cis-Dehydroretinal,C20H26O,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,L3,L2.2
SPRUCE 675,RP_9.38_111.08032,SPRUCE 556,0.028436247271340014,0.014494140463932558,positive,positive,Feature0119,RP_9.38_111.08032,"trans,trans-2,4-Heptadienal",SATICYYAWWYRAM-VNKDHWASSA-N,NA,NA,NA,NA,Organic compounds,Organic oxygen compounds,Organooxygen compounds,Carbonyl compounds,Aldehydes,Medium-chain aldehydes,,,,L2,L2
SPRUCE 356,RP_10.233_344.17023,SPRUCE 2026,0.007275217862539367,-0.048530626507355484,positive,negative,Feature3832,RP_10.233_344.17023,Raspberry ketone glucoside,IDONYWHRKBUDOR-IBEHDNSVSA-N,NA,NA,NA,NA,Organic compounds,Organic oxygen compounds,Organooxygen compounds,Carbohydrates and carbohydrate conjugates,Glycosyl compounds,Phenolic glycosides,,,,L1,L1
SPRUCE 2148,RP_7.195_166.08615,SPRUCE 2026,-8.837038242930986e-4,0.03561983135911816,negative,positive,Feature0519,RP_7.195_166.08615,D-Phenylalanine,COLNVLDHVKWLRT-MRVPVSSYSA-N,cpd:C02265,D-Phenylalanine;D-alpha-Amino-beta-phenylpropionic acid,C9H11NO2,Phenylalanine metabolism;D-Amino acid metabolism;Metabolic pathways;Taste transduction,Organic compounds,Organic acids and derivatives,Carboxylic acids and derivatives,"Amino acids, peptides, and analogues",Amino acids and derivatives,Alpha amino acids and derivatives,Phenylalanine and derivatives,,,L1,L1
