SPRUCE_ID,anoxic,oxic,both,Specialist_phenol_decomposition
SPRUCE 467,7,14,NA,Oxic_phenol_decomposition
SPRUCE 471,11,12,1,Ambivalent_phenol_decomposition
SPRUCE 479,8,17,NA,Oxic_phenol_decomposition
SPRUCE 486,11,20,NA,Oxic_phenol_decomposition
SPRUCE 491,11,49,1,Oxic_phenol_decomposition
SPRUCE 5,8,13,NA,Oxic_phenol_decomposition
SPRUCE 502,22,42,2,Oxic_phenol_decomposition
SPRUCE 503,11,17,1,Oxic_phenol_decomposition
SPRUCE 505,9,8,1,Ambivalent_phenol_decomposition
SPRUCE 510,4,7,NA,Oxic_phenol_decomposition
SPRUCE 513,5,11,NA,Oxic_phenol_decomposition
SPRUCE 527,6,11,NA,Oxic_phenol_decomposition
SPRUCE 528,7,6,NA,Ambivalent_phenol_decomposition
SPRUCE 549,6,8,NA,Ambivalent_phenol_decomposition
SPRUCE 550,14,24,NA,Oxic_phenol_decomposition
SPRUCE 556,2,3,NA,Oxic_phenol_decomposition
SPRUCE 557,2,3,NA,Oxic_phenol_decomposition
SPRUCE 571,6,9,NA,Oxic_phenol_decomposition
SPRUCE 581,26,38,NA,Ambivalent_phenol_decomposition
SPRUCE 583,12,15,1,Ambivalent_phenol_decomposition
SPRUCE 595,9,13,NA,Ambivalent_phenol_decomposition
SPRUCE 599,8,13,NA,Oxic_phenol_decomposition
SPRUCE 600,10,44,4,Oxic_phenol_decomposition
SPRUCE 607,13,40,NA,Oxic_phenol_decomposition
SPRUCE 619,8,11,1,Ambivalent_phenol_decomposition
SPRUCE 620,3,4,NA,Ambivalent_phenol_decomposition
SPRUCE 623,8,17,NA,Oxic_phenol_decomposition
SPRUCE 63,8,8,1,Ambivalent_phenol_decomposition
SPRUCE 630,9,5,NA,Anoxic_phenol_decomposition
SPRUCE 637,8,20,NA,Oxic_phenol_decomposition
SPRUCE 643,4,5,NA,Ambivalent_phenol_decomposition
SPRUCE 648,10,12,NA,Ambivalent_phenol_decomposition
SPRUCE 662,3,7,NA,Oxic_phenol_decomposition
SPRUCE 666,10,17,1,Oxic_phenol_decomposition
SPRUCE 670,5,8,NA,Oxic_phenol_decomposition
SPRUCE 675,8,24,NA,Oxic_phenol_decomposition
SPRUCE 683,9,11,NA,Ambivalent_phenol_decomposition
SPRUCE 689,8,19,1,Oxic_phenol_decomposition
SPRUCE 697,12,44,2,Oxic_phenol_decomposition
SPRUCE 71,10,28,2,Oxic_phenol_decomposition
SPRUCE 75,12,27,1,Oxic_phenol_decomposition
SPRUCE 85,2,6,NA,Oxic_phenol_decomposition
SPRUCE 87,24,30,1,Ambivalent_phenol_decomposition
SPRUCE 95,7,11,1,Oxic_phenol_decomposition
SPRUCE 97,8,11,1,Ambivalent_phenol_decomposition
