year,month,site,depth,d13CH4,d13CO2,alpha,CH4mM,CO2mM,corrCO2CH4
2022,July,Plot16,100,-68.6,3.6,1.1,0.8,5.4,1.4
2022,July,Plot16,150,-67.8,5.3,1.1,0.9,5.1,1.3
2022,July,Plot16,200,-69.9,4.4,1.1,1.2,5.5,1.4
2022,July,Plot16,200,-70.2,3.9,1.1,1.3,5.6,1.5
2022,July,Plot17,25,-67.9,-9.6,1.1,0.9,4.6,2.6
2022,July,Plot17,50,-67.1,-7.3,1.1,0.4,4.7,2.2
2022,July,Plot17,50,-67.4,-7.2,1.1,0.4,4.7,2.2
2022,July,Plot17,75,-70.6,-0.2,1.1,0.6,5,1.7
2022,July,Plot17,75,-77.6,-7.4,1.1,0.4,4.7,2.8
2022,July,Plot17,100,-69.1,1.9,1.1,0.7,5.3,1.5
2022,July,Plot17,100,-68.7,1.5,1.1,0.6,5.1,1.6
2022,July,Plot17,150,-67.8,5.6,1.1,1,6,1.3
2022,July,Plot17,150,-67.9,5,1.1,1.1,6.2,1.4
2022,July,Plot17,150,-67.3,5.5,1.1,1.1,5.9,1.3
2022,July,Plot17,200,-68.8,3.8,1.1,0.8,5.2,1.4
2022,July,Plot17,200,-69.2,4.2,1.1,1.1,5.9,1.4
2022,July,Plot19,25,-74.1,-10.6,1.1,0.5,3.3,3.1
2022,July,Plot19,25,-73.7,-11.4,1.1,0.4,2.9,3.3
2022,July,Plot19,50,-72.8,-0.8,1.1,0.8,4.2,1.9
2022,July,Plot19,75,-69.7,0.5,1.1,0.9,4.7,1.7
2022,July,Plot19,100,-75.3,-3.7,1.1,0.7,5.4,2.2
2022,July,Plot19,100,-75.4,-3.7,1.1,0.7,5.2,2.2
2022,July,Plot19,150,-71.6,-0.3,1.1,0.7,3.8,1.8
2022,July,Plot19,150,-71.3,-1.1,1.1,0.6,3.4,1.8
2022,July,Plot19,200,-69.6,0.5,1.1,1,4.9,1.6
2022,July,Plot19,200,-69.6,0.7,1.1,1,5,1.6
2022,July,Plot20,25,-72.4,-12.3,1.1,0.4,3.3,3.4
2022,July,Plot20,25,-72.4,-12.9,1.1,0.4,3.2,3.5
2022,July,Plot20,50,-75.1,-5.5,1.1,0.5,3.2,2.4
2022,July,Plot20,50,-75.2,-4.5,1.1,0.5,3.5,2.3
2022,July,Plot20,75,-71.5,1.3,1.1,0.8,4.1,1.7
2022,July,Plot20,75,-70.6,1,1.1,0.8,4.1,1.6
2022,July,Plot20,100,-70.2,3.3,1.1,0.9,4.7,1.5
2022,July,Plot20,100,-70.3,3.1,1.1,0.9,4.3,1.5
2022,July,Plot20,150,-70.5,2.3,1.1,0.8,3.5,1.6
2022,July,Plot20,200,-70.3,1.8,1.1,1.2,5,1.6
2022,July,Plot20,200,-70.5,1.7,1.1,1,4.9,1.6
