connected_sensitive_tax,connected_methanogen,Metabolite_feature_ID,Acquisition_mode,RT_min,precursor_mz,Metabolite_name,Figure_3_label,Annotation_Confidence,Name_n_features,Name_status,Kingdom,Superclass,Class.metab,Subclass,Parent.Level.1,Parent.Level.2,Parent.Level.3,Parent.Level.4,Parent.Level.5,Classification_network,edge_genome_metab,weight_genome_metab,recovery_genome_metab,edge_metab_methanogen,weight_metab_methanogen,recovery_metab_methanogen
SPRUCE 2148: Actinobacteriota,SPRUCE 556,RP_7.195_166.08615,RP,7.195,166.08615,D-Phenylalanine,D-Phenylalanine [L1],L1,3,name shared with other features,Organic compounds,Organic acids and derivatives,Carboxylic acids and derivatives,"Amino acids, peptides, and analogues",Amino acids and derivatives,Alpha amino acids and derivatives,Phenylalanine and derivatives,NA,NA,Amino acids and derivatives,negative,-9e-4,0.02,positive,0.0327,0.62
SPRUCE 2155: Actinobacteriota,SPRUCE 2026,RP_19.948_313.10687,RP,19.948,313.10687,Albiflorin-3,Albiflorin-3 [L2],L2,1,name unique to this feature,NA,NA,NA,NA,NA,NA,NA,NA,NA,Other organic compounds,positive,0.0089,0.32,negative,-0.0041,0.12
SPRUCE 2155: Actinobacteriota,SPRUCE 2026,RP_10.233_344.17023,RP,10.233,344.17023,Raspberry ketone glucoside,Raspberry ketone glucoside [L1],L1,1,name unique to this feature,Organic compounds,Organic oxygen compounds,Organooxygen compounds,Carbohydrates and carbohydrate conjugates,Glycosyl compounds,Phenolic glycosides,NA,NA,NA,Other organic compounds,positive,0.0161,0.48,negative,-0.0485,0.76
SPRUCE 2155: Actinobacteriota,SPRUCE 510,RP_5.641_174.12357,RP,5.641,174.12357,Indospicine,"Amino acids, peptides, and analogues (putative) | RP_5.641_174.12357 [L3]",L3,1,name unique to this feature,Organic compounds,Organic acids and derivatives,Carboxylic acids and derivatives,"Amino acids, peptides, and analogues",Amino acids and derivatives,Alpha amino acids and derivatives,Alpha amino acids,L-alpha-amino acids,NA,Amino acids and derivatives,positive,0.003,0.64,negative,-0.049,0.74
SPRUCE 2155: Actinobacteriota,SPRUCE 556,RP_18.205_289.17971,RP,18.205,289.17971,Estriol,Estrane steroids (putative) | RP_18.205_289.17971 [L2],L2,4,name shared with other features,Organic compounds,Lipids and lipid-like molecules,Steroids and steroid derivatives,Estrane steroids,Estrogens and derivatives,NA,NA,NA,NA,Lipids and derivatives,negative,-0.0762,0.76,negative,-0.005,0.24
SPRUCE 2155: Actinobacteriota,SPRUCE 556,RP_13.775_259.09636,RP,13.775,259.09636,Luvangetin,Luvangetin [L2],L2,2,name shared with other features,Organic compounds,Phenylpropanoids and polyketides,Coumarins and derivatives,Pyranocoumarins,Linear pyranocoumarins,NA,NA,NA,NA,Phenolic and polyphenolic compounds,negative,-0.0057,0,positive,0.0127,0.12
SPRUCE 2159: Actinobacteriota,SPRUCE 510,RP_9.29_291.0861,RP,9.29,291.0861,(+)-Catechin,(+)-Catechin [L1],L1,1,name unique to this feature,Organic compounds,Phenylpropanoids and polyketides,Flavonoids,Flavans,Flavan-3-ols,Catechins,NA,NA,NA,Phenolic and polyphenolic compounds,positive,0.0202,0.54,negative,-0.0081,0.28
SPRUCE 2183: Proteobacteria,SPRUCE 2021,RP_1.475_522.20255,RP,1.475,522.20255,Maltotriose,Maltotriose [L1],L1,2,name shared with other features,NA,NA,NA,NA,NA,NA,NA,NA,NA,Other organic compounds,positive,0.0597,0.52,negative,-0.0391,0.4
SPRUCE 2191: Proteobacteria,SPRUCE 2026,RP_19.948_313.10687,RP,19.948,313.10687,Albiflorin-3,Albiflorin-3 [L2],L2,1,name unique to this feature,NA,NA,NA,NA,NA,NA,NA,NA,NA,Other organic compounds,positive,0.0247,0.28,negative,-0.0041,0.12
SPRUCE 275: Proteobacteria,SPRUCE 2026,RP_11.548_249.11198,RP,11.548,249.11198,"5-Hydroxy-4-methoxy-6-(2-phenylethyl)-5,6-dihydro-2H-pyran-2-one (stereochemistry unresolved)",Kavalactone | (stereochemistry unresolved) [L2],L2,5,name shared with other features,Organic compounds,Phenylpropanoids and polyketides,Kavalactones,NA,Kavalactones,NA,NA,NA,NA,Phenolic and polyphenolic compounds,positive,0.0138,0.78,negative,-0.0704,0.7
