Sample,Name,Plot,Depth,Warming,Warming_simple,CO2,Year,AvgTemp10cm,AvgTemp20cm,AvgTemp30cm,AvgTemp40cm,AvgTemp50cm,AvgTemp100cm,AvgTemp200cm,AvgWT_Elevation,AvgWTE_normalized,AvgMoisture0cm,AvgMoisture20cm,Warming_Treatment,CO2_Treatment,Warming_Treatment.ord,WT_drawdown,Temp_avg_top,SoilWater_avg_top,WT_drawdown_cm,NOSC
P4_2020,P4-2_2020,4,10-20 cm,4.5 ºC,4.5,elevated,2020,16.0629524099037,15.0478407401197,14.0834651939928,13.1846674921522,12.3821364586156,10.148937620201,8.19535129951445,412.357002456794,-0.0164627111788618,0.606136797880482,0.837235623309885,+ 4.5 ºC,Elevated,4.5 ºC,0.0164627111788618,23.58687277996355,1.0247546095354243,1.6462711178861795,-0.04970502522795327
P8_2020,P8-2_2020,8,10-20 cm,6.75 ºC,6.75,ambient,2020,17.0742180184621,16.1022609165537,14.9363884330397,14.9328404831188,14.0004050120822,12.1368930953591,10.3714465089205,412.358929623984,-0.00922022355284553,0.39883188503399303,0.822957246697155,+ 6.75 ºC,Ambient,6.75 ºC,0.00922022355284553,25.12534847673895,0.8103105083825706,0.9220223552845528,-0.04878331308133217
P10_2020,P10-2_2020,10,10-20 cm,9 ºC,9,elevated,2020,18.3204389804088,17.1194515285682,16.3053884889341,15.6565772502823,15.2537943354788,13.7882207042118,12.5418502676152,412.187903998645,-0.100345362747967,0.21682046932172,0.7778235437727,+ 9 ºC,Elevated,9 ºC,0.100345362747967,26.880164744692895,0.60573224120807,10.0345362747967,-0.04762304092722085
P13_2020,P13-2_2020,13,10-20 cm,4.5 ºC,4.5,ambient,2020,15.0002630483384,13.8274901929153,12.8876987845763,12.0693200735028,11.4324702191525,9.54590317118644,8.16140443265537,412.39657968803,-0.00564927498373984,0.408263838152542,0.913330335016949,+ 4.5 ºC,Ambient,4.5 ºC,0.00564927498373984,21.91400814479605,0.8649290056610166,0.5649274983739839,-0.0489730325298898
P16_2020,P16-2_2020,16,10-20 cm,6.75 ºC,6.75,elevated,2020,17.7953641126737,16.4548200652886,15.6487102376596,14.9748302887157,14.2401526460242,12.1990648303698,10.4419368429346,412.463495899695,0.024715448203252,0.342613320180326,0.73263142679593,+ 6.75 ºC,Elevated,6.75 ºC,-0.024715448203252,26.022774145318,0.708929033578291,-2.4715448203252,-0.04937141133976568
P17_2020,P17-2_2020,17,10-20 cm,9 ºC,9,ambient,2020,18.2084804249661,17.2135907148261,16.5388042795845,16.0116089667457,15.5143696872177,13.9488700580397,12.4801389600271,412.47465821477,-0.0199959518617886,0.487902184319823,0.889429199988055,+ 9 ºC,Ambient,9 ºC,0.0199959518617886,26.815275782379153,0.9326167843138504,1.99959518617886,-0.04844757746057068
P20_2020,P20-2_2020,20,10-20 cm,2.25 ºC,2.25,ambient,2020,14.2737566498213,12.3059603796249,11.0371597051308,10.1033886012195,9.30552578100723,7.15127868236224,5.99553730978997,412.373456455439,-0.0372049998373984,0.551553798967497,0.83440849632883,+ 2.25 ºC,Ambient,2.25 ºC,0.0372049998373984,20.426736839633747,0.968758047131912,3.720499983739841,-0.04862625078163327
P4_2021,P4-2_2021,4,10-20 cm,4.5 ºC,4.5,elevated,2021,16.5507255656263,15.4932253654415,14.535178604007,13.6396051547626,12.8449706629016,10.1137790968736,8.30253889255638,412.169024490501,-0.253802896205128,0.524813299746277,0.74722024765862,+ 4.5 ºC,Elevated,4.5 ºC,0.253802896205128,24.297338248347053,0.898423423575587,25.3802896205128,-0.04782595008774908
P6_2021,P6-2_2021,6,10-20 cm,0 ºC,0,ambient,2021,11.9792988389913,9.83060237604345,8.35396673889078,7.28807091167447,6.53147058284914,4.85891671616271,3.65386261679472,412.194862745763,-0.159943663634146,0.548902103147837,0.902068095674682,+ 0 ºC,Ambient,0 ºC,0.159943663634146,16.894600027013023,0.999936150985178,15.9943663634146,-0.0493258207616157
P8_2021,P8-2_2021,8,10-20 cm,6.75 ºC,6.75,ambient,2021,17.7015254237288,16.6090451977401,15.3914519774011,15.4146610169492,14.4709646401813,12.5508026094627,10.5410412164084,412.044498874598,-0.34390475661017,0.267449023295551,0.694508915582637,+ 6.75 ºC,Ambient,6.75 ºC,0.34390475661017,26.00604802259885,0.6147034810868695,34.390475661017,-0.04795216975106082
P10_2021,P10-2_2021,10,10-20 cm,9 ºC,9,elevated,2021,19.0344461832725,17.6965223439402,16.7973975540486,16.1053787747058,15.6725670897815,14.0695878977569,12.6773778473309,411.919586680469,-0.423867858016667,0.281761555746468,0.657862861547155,+ 9 ºC,Elevated,9 ºC,0.423867858016667,27.8827073552426,0.6106929865200454,42.3867858016667,-0.0514059385415416
P11_2021,P11-2_2021,11,10-20 cm,2.25 ºC,2.25,elevated,2021,13.9013554727211,12.3302948153168,11.2509544787078,10.448825256975,9.64595542173105,7.40468590447247,6.22722805828533,412.240137024991,-0.186806139691057,0.547798550071703,0.86707043186006,+ 2.25 ºC,Elevated,2.25 ºC,0.186806139691057,20.0665028803795,0.9813337660017328,18.6806139691057,-0.04893368214132404
P13_2021,P13-2_2021,13,10-20 cm,4.5 ºC,4.5,ambient,2021,15.6677679882526,14.3588726985203,13.3784875183554,12.5713091607365,11.9366937761211,9.95267705862419,8.33685807741128,412.239698821695,-0.218759656793388,0.329435971304299,0.785168841439304,+ 4.5 ºC,Ambient,4.5 ºC,0.218759656793388,22.84720433751275,0.722020392023951,21.8759656793388,-0.04759522681496726
