"","genome","metabolite","methanogen","weight_genome_metab","weight_metab_methanogen","sign_genome_metab","sign_metab_methanogen","FeatureID","Final_name","InChIKey","KEGG_id","KEGG_name","KEGG_formula","KEGG_pathway","Kingdom","Superclass","Class","Subclass","Parent.Level.1","Parent.Level.2","Parent.Level.3","Parent.Level.4","Parent.Level.5","Annotation_Confidence"
"15","SPRUCE 2155","RP_10.233_344.17023","SPRUCE 2026",0.0160782146924239,-0.0485306265073524,"positive","negative","Feature3832","Raspberry ketone glucoside","IDONYWHRKBUDOR-IBEHDNSVSA-N",NA,NA,NA,NA,"Organic compounds","Organic oxygen compounds","Organooxygen compounds","Carbohydrates and carbohydrate conjugates","Glycosyl compounds","Phenolic glycosides","","","","L1"
"16","SPRUCE 2155","RP_19.948_313.10687","SPRUCE 2026",0.00886930496087391,-0.00407991754970862,"positive","negative","Feature3215","Albiflorin-3","DBPWCIPDCMVUFT-UHFFFAOYSA-N ",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"L2"
"17","SPRUCE 2155","RP_18.205_289.17971","SPRUCE 556",-0.0762114896625166,-0.00503217042084702,"negative","negative","Feature2715","Estriol","PROQIPRRNZUXQM-ZXXIGWHRSA-N","cpd:C05141","Estriol;1,3,5(10)-Estratriene-3,16-alpha,17beta-triol","C18H24O3","Steroid hormone biosynthesis;Metabolic pathways;Progesterone, androgen and estrogen receptor agonists/antagonists","Organic compounds","Lipids and lipid-like molecules","Steroids and steroid derivatives","Estrane steroids","Estrogens and derivatives","","","","","L2"
"18","SPRUCE 2155","RP_13.775_259.09636","SPRUCE 556",-0.0056780459744212,0.0126992292857391,"negative","positive","Feature2130","Luvangetin","XYPWCJWXFYYGPA-UHFFFAOYSA-N","cpd:C09273","Luvangetin;10-Methoxy-8,8-dimethyl-2H,8H-benzo[1,2-b:5,4-b']dipyran-2-one","C15H14O4",NA,"Organic compounds","Phenylpropanoids and polyketides","Coumarins and derivatives","Pyranocoumarins","Linear pyranocoumarins","","","","","L2"
"19","SPRUCE 2155","RP_5.641_174.12357","SPRUCE 510",0.00302737123555487,-0.0490208414311352,"positive","negative","Feature0620","Indospicine","SILQDLDAWPQMEL-YFKPBYRVSA-N","cpd:C08288","Indospicine;L-Indospicine","C7H15N3O2",NA,"Organic compounds","Organic acids and derivatives","Carboxylic acids and derivatives","Amino acids, peptides, and analogues","Amino acids and derivatives","Alpha amino acids and derivatives","Alpha amino acids","L-alpha-amino acids","","L2.2"
"20","SPRUCE 675","RP_20.132_283.20546","SPRUCE 2021",0.000603545402343638,-0.0930558952422088,"positive","negative","Feature2591","cis-Dehydroretinal","QHNVWXUULMZJKD-IOUUIBBYSA-N  ","cpd:C05919","11-cis-Dehydroretinal","C20H26O",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"L2.2"
"21","SPRUCE 675","RP_9.38_111.08032","SPRUCE 556",0.0284362472713409,0.0144941404639334,"positive","positive","Feature0119","trans,trans-2,4-Heptadienal","SATICYYAWWYRAM-VNKDHWASSA-N",NA,NA,NA,NA,"Organic compounds","Organic oxygen compounds","Organooxygen compounds","Carbonyl compounds","Aldehydes","Medium-chain aldehydes","","","","L2"
"22","SPRUCE 356","RP_10.233_344.17023","SPRUCE 2026",0.00727521786253811,-0.0485306265073524,"positive","negative","Feature3832","Raspberry ketone glucoside","IDONYWHRKBUDOR-IBEHDNSVSA-N",NA,NA,NA,NA,"Organic compounds","Organic oxygen compounds","Organooxygen compounds","Carbohydrates and carbohydrate conjugates","Glycosyl compounds","Phenolic glycosides","","","","L1"
"23","SPRUCE 2148","RP_7.195_166.08615","SPRUCE 2026",-0.000883703824293484,0.0356198313591202,"negative","positive","Feature0519","D-Phenylalanine","COLNVLDHVKWLRT-MRVPVSSYSA-N","cpd:C02265","D-Phenylalanine;D-alpha-Amino-beta-phenylpropionic acid","C9H11NO2","Phenylalanine metabolism;D-Amino acid metabolism;Metabolic pathways;Taste transduction","Organic compounds","Organic acids and derivatives","Carboxylic acids and derivatives","Amino acids, peptides, and analogues","Amino acids and derivatives","Alpha amino acids and derivatives","Phenylalanine and derivatives","","","L1"
"24","SPRUCE 2148","RP_7.195_166.08615","SPRUCE 556",-0.000883703824293484,0.032749268175972,"negative","positive","Feature0519","D-Phenylalanine","COLNVLDHVKWLRT-MRVPVSSYSA-N","cpd:C02265","D-Phenylalanine;D-alpha-Amino-beta-phenylpropionic acid","C9H11NO2","Phenylalanine metabolism;D-Amino acid metabolism;Metabolic pathways;Taste transduction","Organic compounds","Organic acids and derivatives","Carboxylic acids and derivatives","Amino acids, peptides, and analogues","Amino acids and derivatives","Alpha amino acids and derivatives","Phenylalanine and derivatives","","","L1"
"25","SPRUCE 2159","RP_9.29_291.0861","SPRUCE 510",0.0202327052700449,-0.00811963791283123,"positive","negative","Feature2749","(+)-Catechin","PFTAWBLQPZVEMU-DZGCQCFKSA-N",NA,NA,NA,NA,"Organic compounds","Phenylpropanoids and polyketides","Flavonoids","Flavans","Flavan-3-ols","Catechins","","","","L1"
"26","SPRUCE 2042","RP_6.946_232.15416","SPRUCE 2026",0.120021459923393,-0.0623201286852181,"positive","negative","Feature1639","Butyryl-L-carnitine","QWYFHHGCZUCMBN-SECBINFHSA-N",NA,NA,NA,NA,"Organic compounds","Lipids and lipid-like molecules","Fatty Acyls","Fatty acid esters","Acyl carnitines","","","","","L2.2"
"27","SPRUCE 2042","RP_6.946_232.15416","SPRUCE 2021",0.120021459923393,-0.322531519923639,"positive","negative","Feature1639","Butyryl-L-carnitine","QWYFHHGCZUCMBN-SECBINFHSA-N",NA,NA,NA,NA,"Organic compounds","Lipids and lipid-like molecules","Fatty Acyls","Fatty acid esters","Acyl carnitines","","","","","L2.2"
"28","SPRUCE 2057","RP_1.33_159.05116","SPRUCE 2026",0.00610959087063349,-0.02992605018743,"positive","negative","Feature0419","Allantoin","POJWUDADGALRAB-UHFFFAOYSA-N","cpd:C01551","Allantoin;5-Ureidohydantoin;Glyoxyldiureide","C4H6N4O3",NA,"Organic compounds","Organoheterocyclic compounds","Azoles","Imidazoles","Imidazoles","","","","","L1"
"29","SPRUCE 190","RP_12.265_363.10731","SPRUCE 2021",-0.0100421158578375,-0.00882613172769356,"negative","negative","Feature4120","Decarboxyhypothamnolic acid","WSTILCLQPLCYEH-UHFFFAOYSA-N",NA,NA,NA,NA,"Organic compounds","Phenylpropanoids and polyketides","Depsides and depsidones","","Depsides and depsidones","","","","","L2.2"
"30","SPRUCE 190","RP_9.29_291.0861","SPRUCE 510",0.0136246674430171,-0.00811963791283123,"positive","negative","Feature2749","(+)-Catechin","PFTAWBLQPZVEMU-DZGCQCFKSA-N",NA,NA,NA,NA,"Organic compounds","Phenylpropanoids and polyketides","Flavonoids","Flavans","Flavan-3-ols","Catechins","","","","L1"
"31","SPRUCE 190","RP_1.422_246.06062","SPRUCE 2026",0.0964264059132992,-0.0641940173720847,"positive","negative","Feature1878","Oxazinomycin","REFHNSOTFKKRAI-GBNDHIKLSA-N",NA,NA,NA,NA,"Organic compounds","Organic oxygen compounds","Organooxygen compounds","Carbohydrates and carbohydrate conjugates","Glycosyl compounds","C-glycosyl compounds","","","","L2.3"
"32","SPRUCE 190","RP_2.966_204.0865","SPRUCE 556",-0.0352724934985218,-0.0243993490089963,"negative","negative","Feature1102","N2-Acetyl-L-aminoadipate","FTTGAAZKBNZDCZ-LURJTMIESA-N","cpd:C12986","N2-Acetyl-L-aminoadipate","C8H13NO5",NA,"Organic compounds","Organic acids and derivatives","Carboxylic acids and derivatives","Amino acids, peptides, and analogues","Amino acids and derivatives","Alpha amino acids and derivatives","N-acyl-alpha amino acids and derivatives","N-acyl-alpha amino acids","N-acyl-L-alpha-amino acids","L2.2"
"33","SPRUCE 2183","RP_1.475_522.20255","SPRUCE 2021",0.0596656630800637,-0.0390506603728314,"positive","negative","Feature5029","Maltotriose","FYGDTMLNYKFZSV-DZOUCCHMSA-NFYGDTMLNYKFZSV-PXXRMHSHSA-N
FYGDTMLNYKFZSV-UHFFFAOYSA-N
FYGDTMLNYKFZSV-GJSXVTDISA-N
FYGDTMLNYKFZSV-MUUUSETQSA-N
","cpd:C01835","Maltotriose;Amylotriose","C18H32O16","ABC transporters;Carbohydrate digestion and absorption",NA,NA,NA,NA,NA,NA,NA,NA,NA,"L1"
"34","SPRUCE 2191","RP_19.948_313.10687","SPRUCE 2026",0.0246855221796105,-0.00407991754970862,"positive","negative","Feature3215","Albiflorin-3","DBPWCIPDCMVUFT-UHFFFAOYSA-N ",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"L2"
"35","SPRUCE 397","RP_1.475_522.20255","SPRUCE 2021",0.00703591922097429,-0.0390506603728314,"positive","negative","Feature5029","Maltotriose","FYGDTMLNYKFZSV-DZOUCCHMSA-NFYGDTMLNYKFZSV-PXXRMHSHSA-N
FYGDTMLNYKFZSV-UHFFFAOYSA-N
FYGDTMLNYKFZSV-GJSXVTDISA-N
FYGDTMLNYKFZSV-MUUUSETQSA-N
","cpd:C01835","Maltotriose;Amylotriose","C18H32O16","ABC transporters;Carbohydrate digestion and absorption",NA,NA,NA,NA,NA,NA,NA,NA,NA,"L1"
"36","SPRUCE 397","RP_1.632_360.14986","SPRUCE 2026",0.00966887499483804,-0.020111343475154,"positive","negative","Feature3816","D-(+)-Turanose","SEWFWJUQVJHATO-PUVWEJBASA-NSEWFWJUQVJHATO-KQTFWTRUSA-N
SEWFWJUQVJHATO-UHFFFAOYSA-N
SEWFWJUQVJHATO-UGDNZRGBSA-N
SEWFWJUQVJHATO-YXSCGFAXSA-N
",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"L1"
"37","SPRUCE 397","RP_1.422_246.06062","SPRUCE 2026",1.70656862433331e-05,-0.0641940173720847,"positive","negative","Feature1878","Oxazinomycin","REFHNSOTFKKRAI-GBNDHIKLSA-N",NA,NA,NA,NA,"Organic compounds","Organic oxygen compounds","Organooxygen compounds","Carbohydrates and carbohydrate conjugates","Glycosyl compounds","C-glycosyl compounds","","","","L2.3"
"38","SPRUCE 87","RP_1.475_522.20255","SPRUCE 2021",0.0366321050671881,-0.0390506603728314,"positive","negative","Feature5029","Maltotriose","FYGDTMLNYKFZSV-DZOUCCHMSA-NFYGDTMLNYKFZSV-PXXRMHSHSA-N
FYGDTMLNYKFZSV-UHFFFAOYSA-N
FYGDTMLNYKFZSV-GJSXVTDISA-N
FYGDTMLNYKFZSV-MUUUSETQSA-N
","cpd:C01835","Maltotriose;Amylotriose","C18H32O16","ABC transporters;Carbohydrate digestion and absorption",NA,NA,NA,NA,NA,NA,NA,NA,NA,"L1"
"39","SPRUCE 87","RP_19.236_441.33598","SPRUCE 2021",0.00303258114289573,0.0161014592130368,"positive","positive","Feature4633","Pfaffic acid","AXDBORJNOUXIBC-FZVIGMKHSA-N","cpd:C08965","Pfaffic acid","C29H44O3",NA,"Organic compounds","Lipids and lipid-like molecules","Prenol lipids","Triterpenoids","Triterpenoids","","","","","L2.2"
"40","SPRUCE 87","RP_1.475_287.12348","SPRUCE 2021",0.0219291797159915,0.0261759062335856,"positive","positive","Feature2657","N,N'-bis[(S)-1-methoxycarbonylethyl]fumaric diamide","NZYZLYFPFACZFH-JBGJSGBSSA-N",NA,NA,NA,NA,"Organic compounds","Organic acids and derivatives","Carboxylic acids and derivatives","Amino acids, peptides, and analogues","Amino acids and derivatives","Alpha amino acids and derivatives","N-acyl-alpha amino acids and derivatives","","","L2.3"
